,runTime,Value
Heuristic,0.0,112.0
Heuristic,0.012412309646606445,112.0
Heuristic,15.388814449310303,192.0
Heuristic,39.891905069351196,204.0
Heuristic,60.91464614868164,224.0
Heuristic,85.49865174293518,236.0
Heuristic,107.41434097290039,248.0
Heuristic,133.31860828399658,252.0
Heuristic,158.11198258399963,256.0
Heuristic,183.10569715499878,260.0
Heuristic,208.9527280330658,266.0
Heuristic,232.63183093070984,275.0
Heuristic,255.11224627494812,278.0
Heuristic,278.17067217826843,280.0
Heuristic,301.1990818977356,281.0
Heuristic,326.305114030838,282.0
Heuristic,352.06167364120483,283.0
Heuristic,377.3245153427124,285.0
Heuristic,434.9763469696045,288.0
Heuristic,462.28696727752686,289.0
Heuristic,522.7599906921387,291.0
Heuristic,554.117005109787,292.0
Heuristic,609.3205783367157,293.0
Heuristic,635.3410851955414,294.0
Heuristic,834.5233995914459,296.0
Heuristic,915.1468183994293,297.0
Heuristic,975.1271209716797,298.0
Heuristic,1070.2741343975067,299.0
