,runTime,Value
Heuristic,0.0,82.0
Heuristic,0.007019758224487305,82.0
Heuristic,13.374029636383057,110.0
Heuristic,22.04584312438965,114.0
Heuristic,31.9211905002594,116.0
Heuristic,42.686272859573364,119.0
Heuristic,53.63026762008667,121.0
Heuristic,64.47483682632446,122.0
Heuristic,75.86816000938416,124.0
Heuristic,76.55513834953308,125.0
Heuristic,122.6249930858612,126.0
Heuristic,136.6876130104065,127.0
Heuristic,148.7170376777649,129.0
Heuristic,161.07148098945618,131.0
Heuristic,173.1432547569275,133.0
Heuristic,189.40906929969788,134.0
Heuristic,206.72189497947693,135.0
Heuristic,218.8464138507843,138.0
Heuristic,234.18780493736267,139.0
Heuristic,402.0400619506836,141.0
Heuristic,633.4169185161591,142.0
Heuristic,651.9617929458618,143.0
Heuristic,695.2397828102112,144.0
Heuristic,772.3652656078339,145.0
Heuristic,939.3071703910828,146.0
Heuristic,1633.3548746109009,147.0
