,runTime,Value
Heuristic,0.0,104.0
Heuristic,0.009151458740234375,104.0
Heuristic,8.112630844116211,122.0
Heuristic,47.735796213150024,126.0
Heuristic,57.195900440216064,130.0
Heuristic,69.58540678024292,133.0
Heuristic,80.04779434204102,138.0
Heuristic,90.60392141342163,140.0
Heuristic,131.70281767845154,142.0
Heuristic,149.11491751670837,144.0
Heuristic,164.61583995819092,147.0
Heuristic,176.54506039619446,148.0
Heuristic,188.4757752418518,149.0
Heuristic,227.94397401809692,150.0
Heuristic,269.2574269771576,151.0
Heuristic,319.5967946052551,152.0
Heuristic,390.55557465553284,153.0
Heuristic,398.05224323272705,155.0
Heuristic,848.946503162384,158.0
Heuristic,992.2198009490967,159.0
Heuristic,1547.881811618805,160.0
Heuristic,1572.9949836730957,161.0
Heuristic,1700.5844731330872,162.0
