,runTime,Value
Heuristic,0.0,84.0
Heuristic,0.008409976959228516,84.0
Heuristic,11.02031946182251,125.0
Heuristic,18.975649118423462,157.0
Heuristic,30.301546573638916,168.0
Heuristic,43.46274971961975,181.0
Heuristic,55.45477485656738,186.0
Heuristic,65.51906752586365,188.0
Heuristic,78.9039855003357,200.0
Heuristic,97.02434086799622,206.0
Heuristic,141.41677832603455,207.0
Heuristic,183.53041648864746,208.0
Heuristic,202.7040708065033,211.0
Heuristic,212.69348168373108,212.0
Heuristic,236.7800648212433,213.0
Heuristic,255.93346405029297,214.0
Heuristic,285.24402499198914,215.0
Heuristic,300.7283720970154,216.0
Heuristic,318.17470479011536,217.0
Heuristic,457.5327785015106,218.0
Heuristic,543.2551033496857,221.0
Heuristic,585.0116317272186,222.0
Heuristic,700.4823279380798,223.0
Heuristic,712.4218828678131,224.0
Heuristic,753.6563582420349,225.0
Heuristic,764.8978390693665,226.0
Heuristic,1571.1405098438263,227.0
Heuristic,1619.5828988552094,228.0
Heuristic,1631.1343321800232,229.0
