,runTime,Value,BestBound
0,0.004839897155761719,85.0,190.0
1,35.76224613189697,118.0,190.0
2,175.4812729358673,123.0,190.0
3,175.48527312278748,143.0,190.0
4,175.48878931999207,148.0,190.0
5,226.74274158477783,154.0,190.0
6,312.23508477211,157.0,190.0
7,312.2390842437744,162.0,190.0
8,312.24360823631287,163.0,190.0
9,524.2130961418152,168.0,190.0
10,589.5265760421753,171.0,190.0
11,794.3748254776001,172.0,190.0
12,794.3808262348175,174.0,190.0
13,1405.6610488891602,175.0,190.0
14,1405.7368862628937,177.0,190.0
15,1800.1813187599182,177.0,190.0
