,runTime,Value,BestBound
0,0.005135536193847656,71.0,153.0
1,22.12390685081482,85.0,153.0
2,22.937519788742065,92.0,153.0
3,148.8439495563507,104.0,153.0
4,148.84996724128723,108.0,153.0
5,148.85348963737488,115.0,153.0
6,148.85748624801636,118.0,153.0
7,151.91538047790527,119.0,153.0
8,211.26667666435242,122.0,153.0
9,211.27167677879333,127.0,153.0
10,211.27500319480896,128.0,153.0
11,227.62052154541016,131.0,153.0
12,227.6255238056183,133.0,153.0
13,258.0112793445587,134.0,153.0
14,358.1992657184601,135.0,153.0
15,358.2045154571533,136.0,153.0
16,1800.1447417736053,136.0,153.0
