,runTime,Value,BestBound
0,0.005694150924682617,60.0,136.0
1,11.83960771560669,74.0,136.0
2,12.324581623077393,81.0,136.0
3,56.42566633224487,82.0,136.0
4,56.42866611480713,87.0,136.0
5,56.74402379989624,94.0,136.0
6,100.44813442230225,97.0,136.0
7,100.45245170593262,101.0,136.0
8,154.90805459022522,102.0,136.0
9,154.91105437278748,105.0,136.0
10,178.00059986114502,108.0,136.0
11,178.00559949874878,109.0,136.0
12,218.33189272880554,112.0,136.0
13,218.33959031105042,115.0,136.0
14,305.0372369289398,116.0,136.0
15,898.1626861095428,117.0,136.0
16,909.6928470134735,118.0,136.0
17,1800.083769083023,118.0,136.0
