,runTime,Value,BestBound
0,0.007426023483276367,84.0,253.0
1,16.43549609184265,128.0,253.0
2,49.43084001541138,147.0,253.0
3,188.986243724823,172.0,253.0
4,570.2563633918762,186.0,253.0
5,570.2613618373871,188.0,253.0
6,594.4377133846283,199.0,253.0
7,594.4427134990692,206.0,253.0
8,594.4501762390137,208.0,253.0
9,649.7403798103333,214.0,253.0
10,757.1281068325043,218.0,253.0
11,757.1536164283752,219.0,253.0
12,1800.032455444336,221.0,253.0
13,1800.039476633072,224.0,253.0
14,1800.1374995708466,224.0,253.0
