,runTime,Value
Heuristic,0.0,68.0
Heuristic,0.008292675018310547,68.0
Heuristic,14.680497407913208,97.0
Heuristic,18.43540930747986,103.0
Heuristic,23.039019346237183,108.0
Heuristic,26.698103427886963,118.0
Heuristic,29.871337175369263,123.0
Heuristic,34.00529599189758,128.0
Heuristic,37.98399615287781,132.0
Heuristic,41.38802695274353,135.0
Heuristic,45.575934171676636,139.0
Heuristic,45.578930139541626,142.0
Heuristic,49.34174823760986,144.0
Heuristic,52.716553688049316,145.0
Heuristic,57.12427377700806,148.0
Heuristic,61.338844299316406,149.0
Heuristic,75.35240626335144,151.0
Heuristic,153.72151708602905,154.0
Heuristic,158.64595937728882,155.0
Heuristic,162.32243394851685,156.0
Heuristic,166.44145226478577,157.0
Heuristic,170.06396055221558,158.0
Heuristic,175.22304797172546,160.0
Heuristic,180.09400367736816,161.0
Heuristic,185.83202815055847,162.0
Heuristic,198.3061957359314,163.0
Heuristic,241.6066699028015,166.0
Heuristic,874.9502098560333,167.0
Heuristic,1383.1089899539948,173.0
