,runTime,Value,bound
Heuristic,0.0,48.0,144
Heuristic,1.9828577041625977,67.0,144
Heuristic,2.983124017715454,81.0,144
Heuristic,4.515883684158325,83.0,144
Heuristic,5.8047239780426025,88.0,144
Heuristic,7.493231534957886,89.0,144
Heuristic,9.097304821014404,90.0,144
Heuristic,11.262735843658447,91.0,144
Heuristic,12.725971937179565,96.0,144
Heuristic,14.94948434829712,99.0,144
Heuristic,16.9082612991333,100.0,144
Heuristic,18.499974250793457,102.0,144
Heuristic,34.816723108291626,103.0,144
Heuristic,56.643656730651855,104.0,144
Heuristic,70.96521806716919,105.0,144
Heuristic,70.96921253204346,107.0,144
Heuristic,70.97021007537842,108.0,144
Heuristic,76.37858867645264,109.0,144
Heuristic,103.03283953666687,110.0,144
Heuristic,131.8296308517456,111.0,144
Heuristic,133.4023585319519,112.0,144
Heuristic,134.95653772354126,113.0,144
Heuristic,207.7747642993927,114.0,144
Heuristic,272.18196511268616,115.0,144
Heuristic,294.4703440666199,116.0,144
Heuristic,394.5530250072479,117.0,144
Heuristic,408.56540870666504,119.0,144
Heuristic,432.9059708118439,120.0,144
Heuristic,432.94507122039795,120.0,144
