,runTime,Value,bound
Heuristic,0.0,88.0,264
Heuristic,12.175079345703125,161.0,264
Heuristic,25.46502137184143,197.0,264
Heuristic,41.288926124572754,209.0,264
Heuristic,57.17149567604065,218.0,264
Heuristic,72.66135573387146,224.0,264
Heuristic,87.93349266052246,229.0,264
Heuristic,111.14614677429199,230.0,264
Heuristic,128.48675560951233,233.0,264
Heuristic,143.80133605003357,235.0,264
Heuristic,158.0969696044922,236.0,264
Heuristic,173.90970754623413,237.0,264
Heuristic,188.837828874588,238.0,264
Heuristic,655.8108656406403,239.0,264
Heuristic,917.8236830234528,240.0,264
Heuristic,933.3108601570129,241.0,264
Heuristic,1924.4818348884583,242.0,264
Heuristic,1940.7222230434418,243.0,264
Heuristic,1961.6959347724915,245.0,264
Heuristic,2837.096429824829,246.0,264
Heuristic,3600.128335237503,246.0,264
