,runTime,Value
Heuristic,0.0,84.0
Heuristic,22.745611667633057,130.0
Heuristic,35.8155779838562,151.0
Heuristic,51.74238896369934,163.0
Heuristic,69.14957618713379,171.0
Heuristic,89.68219947814941,174.0
Heuristic,108.27051067352295,184.0
Heuristic,126.1445677280426,185.0
Heuristic,146.4887924194336,188.0
Heuristic,173.23756003379822,190.0
Heuristic,194.45075154304504,195.0
Heuristic,195.02968096733093,197.0
Heuristic,216.56416583061218,198.0
Heuristic,505.04356575012207,199.0
Heuristic,527.9344239234924,200.0
Heuristic,952.7304337024689,201.0
Heuristic,952.7374367713928,202.0
Heuristic,975.8372220993042,203.0
Heuristic,1496.2881307601929,205.0
