,runTime,Value,bound
Heuristic,0.0,84.0,252
Heuristic,23.031673192977905,150.0,252
Heuristic,41.52133345603943,172.0,252
Heuristic,62.63065958023071,184.0,252
Heuristic,82.75815796852112,192.0,252
Heuristic,286.1887185573578,197.0,252
Heuristic,305.93699741363525,201.0,252
Heuristic,372.90911626815796,203.0,252
Heuristic,1000.140410900116,205.0,252
Heuristic,1020.0075562000275,206.0,252
Heuristic,1045.4266912937164,207.0,252
Heuristic,1607.8506300449371,209.0,252
Heuristic,1629.8604578971863,210.0,252
Heuristic,1648.4417719841003,211.0,252
Heuristic,1669.0052886009216,212.0,252
Heuristic,1919.1031045913696,213.0,252
Heuristic,1940.1546912193298,215.0,252
Heuristic,1962.9763350486755,216.0,252
Heuristic,2724.904189348221,217.0,252
Heuristic,2954.19957447052,218.0,252
Heuristic,3600.1056847572327,218.0,252
