,runTime,Value,BestBound,OptimalityGap
Solver,281.634699344635,176.0,231.0,0.7619047619047619
Solver,463.29904651641846,180.0,231.0,0.7792207792207793
Solver,463.3146696090698,181.0,231.0,0.7835497835497836
Solver,543.9561386108398,185.0,231.0,0.8008658008658008
Solver,543.9623327255249,187.0,231.0,0.8095238095238095
Solver,543.9685184955597,188.0,231.0,0.8138528138528138
Solver,661.9254221916199,189.0,231.0,0.8181818181818182
Solver,969.4980835914612,191.0,231.0,0.8268398268398268
Solver,1269.5686168670654,192.0,231.0,0.8311688311688312
Solver,1818.4848537445068,194.0,231.0,0.8398268398268398
Solver,2054.1214866638184,196.0,231.0,0.8484848484848485
Solver,3389.2110300064087,197.0,231.0,0.8528138528138528
Solver,3389.2110300064087,199.0,231.0,0.8614718614718615
Solver,3600.11301779747,199.0,231.0,0.8614718614718615
