,runTime,Value,BestBound,OptimalityGap
Solver,0.018127918243408203,96.0,351.0,0.27350427350427353
Solver,12.832905292510986,197.0,351.0,0.5612535612535613
Solver,314.205384016037,223.0,351.0,0.6353276353276354
Solver,1399.5915162563324,236.0,351.0,0.6723646723646723
Solver,1399.5915162563324,239.0,351.0,0.6809116809116809
Solver,1541.2175934314728,248.0,351.0,0.7065527065527065
Solver,1541.2331783771515,249.0,351.0,0.7094017094017094
Solver,3001.0233042240143,256.0,351.0,0.7293447293447294
Solver,3600.1985630989075,256.0,351.0,0.7293447293447294
