,runTime,Value,BestBound,OptimalityGap
Solver,10,104.0,378.0,0.6798941798941799
Solver,12,217.0,378.0,0.6798941798941799
Solver,467,236.0,378.0,0.6798941798941799
Solver,1933.0287582874298,257.0,378.0,0.6798941798941799
Solver,1933.0287582874298,258.0,378.0,0.6825396825396826
Solver,1933.0511031150818,262.0,378.0,0.6931216931216931
Solver,1993.726791381836,267.0,378.0,0.7063492063492064
Solver,1993.7381384372711,269.0,378.0,0.7116402116402116
Solver,1993.747198343277,270.0,378.0,0.7142857142857143
Solver,2465.3581523895264,275.0,378.0,0.7275132275132276
Solver,2465.3581523895264,276.0,378.0,0.7301587301587301
Solver,3600.178270816803,276.0,378.0,0.7301587301587301
