,runTime,Value,BestBound,OptimalityGap
Solver,0.007471799850463867,48.0,120.0,0.4
Solver,2.5097484588623047,71.0,120.0,0.5916666666666667
Solver,2.658330202102661,75.0,120.0,0.625
Solver,4.733859062194824,83.0,120.0,0.6916666666666667
Solver,10.991478443145752,98.0,120.0,0.8166666666666667
Solver,30.19806456565857,99.0,120.0,0.825
Solver,30.200066089630127,102.0,120.0,0.85
Solver,30.202065229415894,103.0,120.0,0.8583333333333333
Solver,69.72007036209106,105.0,120.0,0.875
Solver,78.27005648612976,109.0,120.0,0.9083333333333333
Solver,96.1475715637207,111.0,120.0,0.925
Solver,113.8998396396637,112.0,120.0,0.9333333333333333
Solver,232.26781725883484,113.0,120.0,0.9416666666666667
Solver,280.24411630630493,114.0,120.0,0.95
Solver,333.22685194015503,115.0,120.0,0.9583333333333334
Solver,623.3453011512756,116.0,120.0,0.9666666666666667
Solver,876.9909143447876,118.0,120.0,0.9833333333333333
Solver,3600.1324331760406,118.0,120.0,0.9833333333333333
