,runTime,Value,BestBound,OptimalityGap
Solver,12,88,,
Solver,13,161,,
Solver,125,162,,
Solver,277,189,,
Solver,1069,215,,
Solver,1142.1,220,,
Solver,1142.3,221,,
Solver,1142.5,223,,
Solver,1142.8,224,,
Solver,1261,227,,
Solver,1261.4,231,,
Solver,1461,233,,
Solver,3084,234,,
Solver,3084.4,237,,
Solver,3282,240,,
Solver,3600,240,,
