,runTime,Value,bound
Heuristic,0.0,68.0,204
Heuristic,16.04242491722107,103.0,204
Heuristic,27.62425708770752,132.0,204
Heuristic,28.21096634864807,134.0,204
Heuristic,37.11127018928528,147.0,204
Heuristic,49.82450532913208,153.0,204
Heuristic,61.687525033950806,157.0,204
Heuristic,74.87398672103882,158.0,204
Heuristic,89.236163854599,160.0,204
Heuristic,103.50132966041565,161.0,204
Heuristic,116.35355830192566,162.0,204
Heuristic,128.1875865459442,163.0,204
Heuristic,140.24535202980042,164.0,204
Heuristic,157.83772778511047,166.0,204
Heuristic,171.5395016670227,167.0,204
Heuristic,265.4225001335144,169.0,204
Heuristic,367.3039677143097,171.0,204
Heuristic,466.00816226005554,172.0,204
Heuristic,479.9379870891571,174.0,204
Heuristic,822.0116815567017,175.0,204
Heuristic,822.0187814235687,177.0,204
Heuristic,836.9940893650055,178.0,204
Heuristic,1053.1360232830048,179.0,204
Heuristic,1069.369729757309,180.0,204
Heuristic,1243.6334958076477,181.0,204
Heuristic,1725.8976867198944,182.0,204
Heuristic,2091.3280732631683,183.0,204
Heuristic,2197.2227416038513,184.0,204
Heuristic,2499.4673912525177,186.0,204
Heuristic,3600.18687915802,186.0,204
