,runTime,Value,bound
Heuristic,0.0,84.0,252
Heuristic,23.21077799797058,150.0,252
Heuristic,37.45356035232544,169.0,252
Heuristic,53.972354888916016,182.0,252
Heuristic,70.08782434463501,188.0,252
Heuristic,87.13184881210327,192.0,252
Heuristic,106.48361349105835,193.0,252
Heuristic,128.29329633712769,196.0,252
Heuristic,154.58610320091248,197.0,252
Heuristic,176.624906539917,198.0,252
Heuristic,196.50337648391724,199.0,252
Heuristic,307.23668932914734,202.0,252
Heuristic,326.5575535297394,204.0,252
Heuristic,347.84443187713623,206.0,252
Heuristic,366.4529824256897,208.0,252
Heuristic,389.6962094306946,209.0,252
Heuristic,895.0752139091492,211.0,252
Heuristic,895.0910432338715,212.0,252
Heuristic,1107.3689744472504,213.0,252
Heuristic,1650.046446800232,215.0,252
Heuristic,1830.8426403999329,216.0,252
Heuristic,2327.2134675979614,217.0,252
Heuristic,2475.5304193496704,218.0,252
Heuristic,3085.1096699237823,219.0,252
Heuristic,3600.082393169403,219.0,252
