,runTime,Value,bound
Heuristic,0.0,96.0,288
Heuristic,12.075098991394043,197.0,288
Heuristic,30.19835066795349,218.0,288
Heuristic,47.040245056152344,227.0,288
Heuristic,62.36977458000183,243.0,288
Heuristic,80.44621849060059,245.0,288
Heuristic,97.4171724319458,246.0,288
Heuristic,113.33567380905151,249.0,288
Heuristic,129.0131130218506,255.0,288
Heuristic,1156.3030841350555,256.0,288
Heuristic,1156.3030841350555,257.0,288
Heuristic,1173.435607433319,258.0,288
Heuristic,1190.1508309841156,260.0,288
Heuristic,1206.9755804538727,261.0,288
Heuristic,2431.366420507431,262.0,288
Heuristic,2833.7092623710632,263.0,288
Heuristic,2854.890860557556,264.0,288
Heuristic,2877.586097240448,265.0,288
Heuristic,3600.1120381355286,265.0,288
