,runTime,Value,bound
Heuristic,0.0,100.0,300
Heuristic,10.738557815551758,160.0,300
Heuristic,23.35068655014038,188.0,300
Heuristic,36.30275368690491,205.0,300
Heuristic,51.21914052963257,216.0,300
Heuristic,65.87148118019104,222.0,300
Heuristic,81.99902510643005,226.0,300
Heuristic,96.33918881416321,229.0,300
Heuristic,108.81369972229004,232.0,300
Heuristic,123.02291893959045,236.0,300
Heuristic,140.75514554977417,237.0,300
Heuristic,156.15245866775513,241.0,300
Heuristic,174.7128086090088,243.0,300
Heuristic,189.91513228416443,244.0,300
Heuristic,421.68510127067566,245.0,300
Heuristic,435.99120903015137,248.00000015617994,300
Heuristic,436.04104256629944,248.00000015954018,300
Heuristic,1532.4251759052277,249.0,300
Heuristic,1947.0906009674072,250.0,300
Heuristic,2869.3160831928253,251.0,300
Heuristic,3600.1226711273193,251.0,300
