,runTime,Value,bound
Heuristic,0.0,100.0,300
Heuristic,10.933367252349854,160.0,300
Heuristic,30.795817613601685,194.0,300
Heuristic,50.757540702819824,210.0,300
Heuristic,71.34816789627075,222.0,300
Heuristic,91.21980261802673,229.0,300
Heuristic,111.54088616371155,231.0,300
Heuristic,131.5621213912964,239.0,300
Heuristic,412.4996905326843,240.0,300
Heuristic,525.8267955780029,242.0,300
Heuristic,545.5648012161255,243.0,300
Heuristic,566.5616059303284,244.0,300
Heuristic,586.6507806777954,245.0,300
Heuristic,1578.9911496639252,246.0,300
Heuristic,2572.8985543251038,249.0,300
Heuristic,2685.1833379268646,251.0,300
Heuristic,3600.2656350135803,251.0,300
