,runTime,Value,bound
Heuristic,0.0,88.0,264
Heuristic,11.947760343551636,161.0,264
Heuristic,38.41157054901123,205.0,264
Heuristic,62.75525140762329,216.0,264
Heuristic,86.8083610534668,218.0,264
Heuristic,266.88035893440247,225.0,264
Heuristic,291.3295958042145,228.0,264
Heuristic,315.4606018066406,230.0,264
Heuristic,488.1455738544464,231.0,264
Heuristic,674.2517290115356,232.0,264
Heuristic,2039.4955110549927,233.0,264
Heuristic,2039.514056444168,234.0,264
Heuristic,2039.5250997543335,235.0,264
Heuristic,2506.4737758636475,238.0,264
Heuristic,2683.634885072708,241.0,264
Heuristic,2707.9263093471527,243.0,264
Heuristic,2885.366016626358,244.0,264
Heuristic,3600.125328063965,244.0,264
