,runTime,Value,bound
Heuristic,0.0,68.0,204
Heuristic,17.769522190093994,103.0,204
Heuristic,34.50948143005371,119.0,204
Heuristic,52.34990477561951,134.0,204
Heuristic,68.89891147613525,145.0,204
Heuristic,86.69797348976135,152.0,204
Heuristic,104.65048694610596,160.0,204
Heuristic,121.20392322540283,164.0,204
Heuristic,140.03040957450867,166.0,204
Heuristic,156.61820554733276,167.0,204
Heuristic,175.07065892219543,168.0,204
Heuristic,296.72251081466675,169.0,204
Heuristic,702.4114158153534,171.0,204
Heuristic,1048.5437779426575,172.0,204
Heuristic,1048.5483479499817,174.0,204
Heuristic,1069.848489522934,175.0,204
Heuristic,1477.5351893901825,176.0,204
Heuristic,1910.480182170868,177.0,204
Heuristic,2295.0527069568634,178.0,204
Heuristic,3600.3227968215942,178.0,204
