,runTime,Value,bound
Heuristic,0.0,96.0,288
Heuristic,11.807205438613892,197.0,288
Heuristic,39.902130126953125,221.0,288
Heuristic,68.47510504722595,233.0,288
Heuristic,97.25411009788513,239.0,288
Heuristic,124.88746333122253,246.0,288
Heuristic,152.969233751297,251.0,288
Heuristic,181.33869862556458,253.0,288
Heuristic,209.78820276260376,255.0,288
Heuristic,237.42351651191711,258.0,288
Heuristic,265.0129945278168,259.0,288
Heuristic,425.58819937705994,260.0,288
Heuristic,453.41867184638977,262.0,288
Heuristic,480.9894859790802,264.0,288
Heuristic,508.37977862358093,265.0,288
Heuristic,535.733767747879,266.0,288
Heuristic,998.7665045261383,267.0,288
Heuristic,2699.771144628525,268.0,288
Heuristic,3600.1609737873077,268.0,288
