,runTime,Value,bound
Heuristic,0.0,92.0,276
Heuristic,9.496310949325562,151.0,276
Heuristic,21.659781217575073,176.0,276
Heuristic,36.948657512664795,184.0,276
Heuristic,51.45890498161316,190.0,276
Heuristic,64.85854697227478,192.0,276
Heuristic,78.57049989700317,196.0,276
Heuristic,92.91969609260559,198.0,276
Heuristic,106.4812445640564,206.0,276
Heuristic,122.29642629623413,210.0,276
Heuristic,134.4358959197998,214.0,276
Heuristic,206.83389735221863,215.0,276
Heuristic,287.01903772354126,216.0,276
Heuristic,367.48604345321655,219.0,276
Heuristic,461.2479064464569,220.0,276
Heuristic,548.2504215240479,221.0,276
Heuristic,561.1839966773987,222.0,276
Heuristic,646.3568115234375,223.0,276
Heuristic,658.8416957855225,224.0,276
Heuristic,840.0424036979675,226.0,276
Heuristic,1419.9222309589386,227.0,276
Heuristic,1434.9970517158508,228.0,276
Heuristic,2175.9287383556366,230.0,276
Heuristic,2796.0344681739807,232.0,276
Heuristic,2879.8439495563507,235.0,276
Heuristic,3527.546928167343,237.0,276
Heuristic,3600.123611688614,237.0,276
