,runTime,Value,BestBound
0,0.004953145980834961,72.0,143.99999999999682
1,23.814284324645996,84.0,143.99999999999682
2,352.8257384300232,86.0,143.99999999999682
3,538.5103471279144,97.0,143.99999999999682
4,571.7242572307587,102.0,143.99999999999682
5,724.3246858119965,106.0,143.99999999999682
6,846.9219529628754,107.0,143.99999999999682
7,896.6057562828064,108.0,143.99999999999682
8,896.6097662448883,116.0,143.99999999999682
9,896.6148228645325,118.0,143.99999999999682
10,988.467972278595,125.0,143.99999999999682
11,988.4709758758545,128.0,143.99999999999682
12,1432.973887681961,130.0,143.99999999999682
13,1800.0175113677979,137.0,143.99999999999682
14,1800.109911441803,137.0,143.99999999999682
