,runTime,Value,BestBound
0,0.006108522415161133,100.0,149.99999999982097
1,35.385987281799316,115.0,149.99999999982097
2,36.29655480384827,116.0,149.99999999982097
3,493.6412146091461,125.0,149.99999999982097
4,738.6057906150818,134.0,149.99999999982097
5,981.6957442760468,135.0,149.99999999982097
6,1274.1967267990112,143.0,149.99999999982097
7,1452.9678664207458,144.0,149.99999999982097
8,1488.1947813034058,145.0,149.99999999982097
9,1664.7946979999542,146.0,149.99999999982097
10,1664.7992765903473,147.0,149.99999999982097
11,1729.9208343029022,148.0,149.99999999982097
12,1800.1242651939392,148.0,149.99999999982097
