,runTime,Value,BestBound,OptimalityGap
Solver,0.023586273193359375,100.0,300.0,0.3333333333333333
Solver,10.843244314193726,160.0,300.0,0.5333333333333333
Solver,82.866215467453,165.0,300.0,0.55
Solver,226.83124423027039,210.0,300.0,0.7
Solver,862.1179451942444,223.0,300.0,0.7433333333333333
Solver,862.1179451942444,224.0,300.0,0.7466666666666667
Solver,862.1371824741364,225.0,300.0,0.75
Solver,904.1204233169556,227.0,300.0,0.7566666666666667
Solver,904.1291859149933,231.0,300.0,0.77
Solver,904.1405475139618,232.0,300.0,0.7733333333333333
Solver,1017.2578439712524,236.0,300.0,0.7866666666666666
Solver,1017.2653980255127,241.0,300.0,0.8033333333333333
Solver,1861.8569169044495,242.0,300.0,0.8066666666666666
Solver,1861.8701362609863,243.0,300.0,0.81
Solver,1861.8801975250244,244.0,300.0,0.8133333333333334
Solver,1861.8876848220825,245.0,300.0,0.8166666666666667
Solver,3498.274686574936,247.0,300.0,0.8233333333333334
Solver,3600.149889945984,247.0,300.0,0.8233333333333334
