,runTime,Value,BestBound,OptimalityGap
Solver,137.16537737846375,130.0,210.0,0.6190476190476191
Solver,172.37329077720642,147.0,210.0,0.7
Solver,261.51371788978577,153.0,210.0,0.7285714285714285
Solver,266.63304924964905,158.0,210.0,0.7523809523809524
Solver,334.1964621543884,162.0,210.0,0.7714285714285715
Solver,391.9166581630707,164.0,210.0,0.780952380952381
Solver,430.4134593009949,168.0,210.0,0.8
Solver,493.56922483444214,169.0,210.0,0.8047619047619048
Solver,493.58486127853394,170.0,210.0,0.8095238095238095
Solver,514.6874585151672,171.0,210.0,0.8142857142857143
Solver,514.6874585151672,172.0,210.0,0.819047619047619
Solver,636.0141317844391,173.0,210.0,0.8238095238095238
Solver,1625.3570251464844,174.0,210.0,0.8285714285714286
Solver,1625.4416642189026,175.0,210.0,0.8333333333333334
Solver,3600.1057901382446,175.0,210.0,0.8333333333333334
