,runTime,Value,BestBound
0,0.008779048919677734,100.0,300.0
1,12.835272312164307,161.0,300.0
2,101.97325849533081,170.0,300.0
3,218.79525995254517,196.0,300.0
4,979.1883251667023,201.0,300.0
5,979.1957221031189,214.0,300.0
6,979.2039587497711,215.0,300.0
7,1046.4572970867157,216.0,300.0
8,1046.4662563800812,218.0,300.0
9,1046.473257303238,224.0,300.0
10,1122.5310988426208,226.0,300.0
11,1122.5477709770203,227.0,300.0
12,1675.368941783905,228.0,300.0
13,1675.4170203208923,229.0,300.0
14,1675.425876379013,231.0,300.0
15,1800.2613706588745,231.0,300.0
