,runTime,Value,BestBound
0,0.0066814422607421875,84.0,253.0
1,52.284406423568726,132.0,253.0
2,312.7578954696655,137.0,253.0
3,317.0224595069885,161.0,253.0
4,781.9448599815369,178.0,253.0
5,799.0710852146149,188.0,253.0
6,799.0771071910858,189.0,253.0
7,799.0820808410645,197.0,253.0
8,842.895895242691,200.0,253.0
9,842.9058725833893,202.0,253.0
10,842.9118418693542,204.0,253.0
11,912.3872601985931,205.0,253.0
12,912.3969721794128,206.0,253.0
13,1800.1149272918701,210.0,253.0
14,1800.197438955307,210.0,253.0
