,runTime,Value,BestBound
0,0.007727622985839844,68.0,210.0
1,33.805553674697876,92.0,210.0
2,34.40891480445862,117.0,210.0
3,149.23512172698975,136.0,210.0
4,259.93609499931335,144.0,210.0
5,417.0378155708313,149.0,210.0
6,417.04481744766235,150.0,210.0
7,417.05136799812317,152.0,210.0
8,462.93807077407837,163.0,210.0
9,462.94250321388245,164.0,210.0
10,551.6779928207397,170.0,210.0
11,719.8442919254303,171.0,210.0
12,719.8484494686127,173.0,210.0
13,719.8543572425842,175.0,210.0
14,1227.3982605934143,176.0,210.0
15,1227.4087212085724,177.0,210.0
16,1800.098624944687,177.0,210.0
