,runTime,Value,BestBound
0,0.005173683166503906,82.0,171.0
1,20.12055253982544,97.0,171.0
2,20.509499311447144,101.0,171.0
3,162.3382740020752,107.0,171.0
4,163.03500056266785,117.0,171.0
5,252.90712809562683,127.0,171.0
6,377.7323558330536,129.0,171.0
7,377.73738074302673,135.0,171.0
8,413.6820299625397,137.0,171.0
9,484.68310022354126,138.0,171.0
10,541.0322682857513,140.0,171.0
11,541.0458927154541,143.0,171.0
12,636.0004618167877,145.0,171.0
13,636.0044605731964,147.0,171.0
14,1800.1387207508087,147.0,171.0
