,runTime,Value,BestBound
0,0.006640434265136719,60.0,187.0
1,17.191463947296143,83.0,187.0
2,17.56725263595581,94.0,187.0
3,175.3991289138794,95.0,187.0
4,175.40312933921814,104.0,187.0
5,177.8384530544281,128.0,187.0
6,297.5512521266937,135.0,187.0
7,454.5455265045166,139.0,187.0
8,454.5495374202728,140.0,187.0
9,503.936007976532,141.0,187.0
10,567.1046941280365,145.0,187.0
11,694.4091575145721,147.0,187.0
12,694.4121563434601,149.0,187.0
13,714.6883790493011,150.0,187.0
14,714.6923570632935,151.0,187.0
15,768.5052616596222,153.0,187.0
16,768.5098540782928,154.0,187.0
17,768.5134427547455,155.0,187.0
18,857.3154618740082,156.0,187.0
19,1550.3674952983856,159.0,187.0
20,1800.0604782104492,159.0,187.0
