,runTime,Value,BestBound
0,0.005236625671386719,42.0,136.0
1,12.45564603805542,60.0,136.0
2,12.96087098121643,67.0,136.0
3,59.443745136260986,84.0,136.0
4,113.89819860458374,85.0,136.0
5,113.90118622779846,92.0,136.0
6,136.74340510368347,97.0,136.0
7,178.01756954193115,99.0,136.0
8,178.02056312561035,103.0,136.0
9,210.04074549674988,106.0,136.0
10,232.02130842208862,107.0,136.0
11,259.98036551475525,109.0,136.0
12,300.9520478248596,110.0,136.0
13,376.42361521720886,111.0,136.0
14,1600.9758729934692,112.0,136.0
15,1800.0423834323883,112.0,136.0
