,runTime,Value,BestBound
0,0.004515886306762695,48.0,153.0
1,17.223332405090332,85.0,153.0
2,139.95284819602966,89.0,153.0
3,139.9568464756012,97.0,153.0
4,139.96084690093994,103.0,153.0
5,141.64114046096802,107.0,153.0
6,209.31873869895935,114.0,153.0
7,209.32273817062378,117.0,153.0
8,308.67920994758606,120.0,153.0
9,355.2873296737671,121.0,153.0
10,355.29331707954407,122.0,153.0
11,391.73992228507996,123.0,153.0
12,391.7560601234436,125.0,153.0
13,449.214524269104,126.0,153.0
14,505.0959589481354,129.0,153.0
15,767.8796846866608,130.0,153.0
16,976.2392444610596,131.0,153.0
17,1800.0926766395569,131.0,153.0
