,runTime,Value
Heuristic,0.0,120.0
Heuristic,0.012863636016845703,120.0
Heuristic,16.5331768989563,234.0
Heuristic,47.13152885437012,263.0
Heuristic,64.8870542049408,267.0
Heuristic,118.69590401649475,279.0
Heuristic,146.35469436645508,289.0
Heuristic,207.31907272338867,293.0
Heuristic,228.96279048919678,294.0
Heuristic,310.0249307155609,296.0
Heuristic,369.1312327384949,299.0
Heuristic,392.1137797832489,302.0
Heuristic,754.1177697181702,303.0
Heuristic,1225.927237033844,308.0
Heuristic,1452.5592958927155,309.0
Heuristic,1507.6024560928345,310.0
Heuristic,1568.5791211128235,311.0
