,runTime,Value
Heuristic,0.0,76.0
Heuristic,0.009299755096435547,76.0
Heuristic,20.857539653778076,109.0
Heuristic,32.96394395828247,139.0
Heuristic,33.76004457473755,140.0
Heuristic,38.37958526611328,160.0
Heuristic,55.07213377952576,161.0
Heuristic,64.9178295135498,166.0
Heuristic,71.93018651008606,169.0
Heuristic,88.48354935646057,171.0
Heuristic,98.43358850479126,175.0
Heuristic,109.620450258255,180.0
Heuristic,128.47139358520508,185.0
Heuristic,141.48873829841614,186.0
Heuristic,216.15365147590637,188.0
Heuristic,275.6421835422516,189.0
Heuristic,317.79918241500854,190.0
Heuristic,338.7775628566742,192.0
Heuristic,442.10431385040283,193.0
Heuristic,615.4604322910309,194.0
Heuristic,764.4949083328247,195.0
Heuristic,1042.9197175502777,196.0
Heuristic,1324.7421579360962,197.0
Heuristic,1338.9303047657013,198.0
Heuristic,1567.8991146087646,199.0
Heuristic,1582.0282361507416,200.0
