,runTime,Value,bound
Heuristic,0.0,76.0,228
Heuristic,15.99758529663086,132.0,228
Heuristic,32.93739080429077,156.0,228
Heuristic,51.11278533935547,168.0,228
Heuristic,68.01115989685059,173.0,228
Heuristic,88.59528684616089,176.0,228
Heuristic,107.40537452697754,179.0,228
Heuristic,126.3116021156311,182.0,228
Heuristic,149.65061330795288,185.0,228
Heuristic,167.36216568946838,186.0,228
Heuristic,183.92486429214478,188.0,228
Heuristic,202.8679645061493,189.0,228
Heuristic,357.18241906166077,190.0,228
Heuristic,566.1700716018677,191.0,228
Heuristic,1215.947196006775,192.0,228
Heuristic,1692.7549467086792,193.0,228
Heuristic,1710.2864723205566,194.0,228
Heuristic,2171.5171060562134,195.0,228
Heuristic,2640.291539669037,198.0,228
Heuristic,3067.388823032379,199.0,228
Heuristic,3498.9234631061554,200.0,228
Heuristic,3600.076421022415,200.0,228
