,runTime,Value,bound
Heuristic,0.0,48.0,144
Heuristic,1.9104695320129395,67.0,144
Heuristic,18.02798581123352,74.0,144
Heuristic,19.773030996322632,83.0,144
Heuristic,21.60419464111328,89.0,144
Heuristic,23.22114372253418,96.0,144
Heuristic,24.846903800964355,97.0,144
Heuristic,26.38608741760254,98.0,144
Heuristic,28.086900234222412,101.0,144
Heuristic,29.668410539627075,102.0,144
Heuristic,31.242326974868774,103.0,144
Heuristic,33.16589951515198,104.0,144
Heuristic,61.55032682418823,105.0,144
Heuristic,117.71598982810974,106.0,144
Heuristic,147.61897802352905,107.0,144
Heuristic,159.03525805473328,108.0,144
Heuristic,173.78112483024597,109.0,144
Heuristic,183.14000368118286,110.0,144
Heuristic,226.29787492752075,111.0,144
Heuristic,281.54123711586,112.0,144
Heuristic,364.2468912601471,114.0,144
Heuristic,408.01847219467163,115.0,144
Heuristic,473.16716837882996,116.0,144
Heuristic,546.8181257247925,117.0,144
Heuristic,582.161464214325,120.0,144
Heuristic,582.216557264328,120.0,144
