,runTime,Value,bound
Heuristic,0.0,88.0,264
Heuristic,12.012537717819214,161.0,264
Heuristic,54.328702211380005,199.0,264
Heuristic,83.42173361778259,215.0,264
Heuristic,116.92401552200317,223.0,264
Heuristic,147.87769842147827,226.0,264
Heuristic,173.05358719825745,229.0,264
Heuristic,298.5856120586395,230.0,264
Heuristic,450.7610092163086,233.0,264
Heuristic,555.4228892326355,234.0,264
Heuristic,2048.4607393741608,235.0,264
Heuristic,2048.4607393741608,236.0,264
Heuristic,2196.0030822753906,239.0,264
Heuristic,2228.0280125141144,241.0,264
Heuristic,3600.1893286705017,241.0,264
