,runTime,Value,bound
Heuristic,0.0,92.0,276
Heuristic,9.215620517730713,151.0,276
Heuristic,25.58901619911194,173.0,276
Heuristic,38.634684562683105,182.0,276
Heuristic,52.955991983413696,190.0,276
Heuristic,65.57124781608582,198.0,276
Heuristic,82.45233869552612,201.0,276
Heuristic,95.39755535125732,205.0,276
Heuristic,108.67733263969421,212.0,276
Heuristic,121.66694164276123,213.0,276
Heuristic,134.64609456062317,216.0,276
Heuristic,877.3910667896271,220.0,276
Heuristic,891.1951246261597,222.0,276
Heuristic,907.9057455062866,223.0,276
Heuristic,921.6744117736816,225.0,276
Heuristic,938.704113483429,226.0,276
Heuristic,1010.8055367469788,227.0,276
Heuristic,1248.709950208664,228.0,276
Heuristic,1975.3529019355774,230.0,276
Heuristic,2052.3638501167297,231.0,276
Heuristic,2127.781640768051,232.0,276
Heuristic,2831.4764609336853,233.0,276
Heuristic,2890.397173643112,234.0,276
Heuristic,2949.4617841243744,235.0,276
Heuristic,3600.185864686966,235.0,276
