,runTime,Value,bound
Heuristic,0.0,100.0,300
Heuristic,10.793716669082642,160.0,300
Heuristic,35.220901012420654,194.0,300
Heuristic,58.429110288619995,206.0,300
Heuristic,82.76887440681458,219.0,300
Heuristic,103.37248373031616,224.0,300
Heuristic,129.77533531188965,228.0,300
Heuristic,220.88288068771362,230.0,300
Heuristic,242.18328404426575,231.0,300
Heuristic,359.62523198127747,232.0,300
Heuristic,489.3591573238373,234.0,300
Heuristic,876.1598575115204,236.0,300
Heuristic,2045.5886974334717,240.0,300
Heuristic,2068.219973087311,241.0,300
Heuristic,3304.4562821388245,242.0,300
Heuristic,3304.4562821388245,243.0,300
Heuristic,3600.1261146068573,243.0,300
