,runTime,Value
Heuristic,0.0,76.0
Heuristic,0.008000373840332031,76.0
Heuristic,19.905333042144775,124.0
Heuristic,28.68932580947876,133.0
Heuristic,29.36590838432312,137.0
Heuristic,40.871238708496094,144.0
Heuristic,52.53032159805298,145.0
Heuristic,67.75041675567627,151.0
Heuristic,81.17058777809143,156.0
Heuristic,95.58194541931152,163.0
Heuristic,111.9789297580719,168.0
Heuristic,127.64075326919556,169.0
Heuristic,173.51107907295227,170.0
Heuristic,187.44472479820251,173.0
Heuristic,201.43428802490234,174.0
Heuristic,219.96494817733765,176.0
Heuristic,236.17678689956665,177.0
Heuristic,253.99461841583252,178.0
Heuristic,268.76150703430176,179.0
Heuristic,283.26247239112854,180.0
Heuristic,328.1508541107178,181.0
Heuristic,374.0427622795105,182.0
Heuristic,527.0615820884705,183.0
Heuristic,531.6215062141418,184.0
Heuristic,584.6283712387085,185.0
Heuristic,585.4288067817688,186.0
Heuristic,632.4602837562561,190.0
Heuristic,1066.3339984416962,191.0
Heuristic,1077.0671107769012,193.0
Heuristic,1608.312123298645,194.0
