,runTime,Value
Heuristic,0.0,63.0
Heuristic,0.0057141780853271484,63.0
Heuristic,14.936043739318848,87.0
Heuristic,22.01568102836609,93.0
Heuristic,22.621252298355103,98.0
Heuristic,31.502806425094604,101.0
Heuristic,41.90096950531006,105.0
Heuristic,51.11113905906677,111.0
Heuristic,64.27856659889221,115.0
Heuristic,65.42994713783264,117.0
Heuristic,76.64672470092773,118.0
Heuristic,89.24492168426514,119.0
Heuristic,135.3746030330658,120.0
Heuristic,149.75375819206238,122.0
Heuristic,165.03429770469666,123.0
Heuristic,180.8043200969696,124.0
Heuristic,223.11030077934265,127.0
Heuristic,233.95522952079773,128.0
Heuristic,276.5905544757843,129.0
Heuristic,320.0016031265259,131.0
Heuristic,361.74853706359863,132.0
Heuristic,409.10769414901733,134.0
Heuristic,427.72715759277344,136.0
Heuristic,429.04918479919434,137.0
Heuristic,585.8407397270203,138.0
Heuristic,591.5475625991821,139.0
Heuristic,640.6676461696625,140.0
Heuristic,846.8941049575806,141.0
Heuristic,990.0789842605591,142.0
Heuristic,1719.5430636405945,144.0
