,runTime,Value
Heuristic,0.0,88.0
Heuristic,0.01010894775390625,88.0
Heuristic,14.55444598197937,181.0
Heuristic,34.18876051902771,189.0
Heuristic,55.692129135131836,200.0
Heuristic,77.63135290145874,207.0
Heuristic,99.04193329811096,212.0
Heuristic,120.91085577011108,214.0
Heuristic,142.0075716972351,219.0
Heuristic,162.22348999977112,220.0
Heuristic,178.6730272769928,223.0
Heuristic,202.99348664283752,225.0
Heuristic,223.5865602493286,227.0
Heuristic,224.88173127174377,228.0
Heuristic,245.0595042705536,232.0
Heuristic,262.41974115371704,234.0
Heuristic,343.3876485824585,236.0
Heuristic,362.1574544906616,237.0
Heuristic,381.2613990306854,238.0
Heuristic,399.36506700515747,239.0
Heuristic,1415.8932101726532,240.0
Heuristic,1546.5749506950378,241.0
