,runTime,Value
Heuristic,0.0,100.0
Heuristic,0.009724617004394531,100.0
Heuristic,18.8119854927063,148.0
Heuristic,40.485915660858154,159.0
Heuristic,60.632660150527954,169.0
Heuristic,80.07685422897339,183.0
Heuristic,98.51186108589172,190.0
Heuristic,99.8865761756897,192.0
Heuristic,117.75140643119812,195.0
Heuristic,138.06257009506226,200.0
Heuristic,139.2864649295807,201.0
Heuristic,163.88265132904053,207.0
Heuristic,183.80404663085938,208.0
Heuristic,202.53298950195312,210.0
Heuristic,222.6302227973938,213.0
Heuristic,241.27727246284485,217.0
Heuristic,260.9837484359741,218.0
Heuristic,281.40024042129517,220.0
Heuristic,362.912348985672,224.0
Heuristic,381.30261969566345,226.0
Heuristic,433.2149991989136,228.0
Heuristic,521.9666125774384,231.0
Heuristic,612.5565152168274,232.0
Heuristic,879.4419696331024,233.0
Heuristic,1328.681615114212,234.0
Heuristic,1487.5874292850494,236.0
