,runTime,Value
Heuristic,0.0,100.0
Heuristic,0.006988525390625,100.0
Heuristic,15.143307209014893,108.0
Heuristic,22.330076456069946,112.0
Heuristic,30.80813241004944,123.0
Heuristic,31.36128878593445,126.0
Heuristic,39.34882473945618,133.0
Heuristic,39.85416555404663,137.0
Heuristic,48.823976039886475,138.0
Heuristic,90.23562955856323,142.0
Heuristic,99.64667820930481,143.0
Heuristic,109.36030268669128,144.0
Heuristic,152.24094200134277,146.0
Heuristic,195.28493118286133,147.0
Heuristic,205.8054699897766,148.0
Heuristic,942.489147901535,150.0
